source,repo,category,date,author,title,url,matched_keywords,body_snippet
github_discussions,noir-lang/noir,Q&A,2026-03-31,aletheiamanifesto-pixel,Best practices for conditional ZK proof verification in Solidity (threshold-based),https://github.com/orgs/noir-lang/discussions/12063,is there a; keccak; plonk,"Hi 👋  I'm working on a system where ZK proofs generated by Noir circuits are verified on-chain, but only when a transaction exceeds a certain threshold (think regulatory compliance — above X amount, a proof is required; below, it's not).  The current approach:  if (amount >= THRESHOLD && address(ver"
github_discussions,noir-lang/noir,Q&A,2026-01-13,fahim-zk,Onchain verification ProofLength Error,https://github.com/orgs/noir-lang/discussions/11183,keccak; ultrahonk; verifier.sol,"Guys someone to help here....AI seems to get nothing here!    i wrote Noir circuit that is being called from Typesrcipt file using Foundry cheatcode ffi....in the script, i load the circuit path, load Noir....load the bb, load the honk backend, then pass inputs...then finally use ethers to abi.encod"
github_discussions,noir-lang/noir,Ideas,2025-10-19,stawuah,NoirZeppelin - OpenZeppelin-Style Privacy Library for Noir,https://github.com/orgs/noir-lang/discussions/10234,looking for; library for; existing implementation; rsa; poseidon; bn254; merkle proof; range proof; nullifier; commitment,"### Problem  NoirZeppelin is a comprehensive, production-ready privacy library for the Noir programming language that ports battle-tested OpenZeppelin contract patterns into zero-knowledge circuits. This library enables developers to build privacy-preserving applications for both Web2 and Web3 envir"
github_discussions,noir-lang/noir,Show and tell,2025-10-13,sanjay-sol,ASN.1 Noir Parser — Parsing X.509 & DER Structures in Noir,https://github.com/orgs/noir-lang/discussions/10174,rsa; sha256,# ASN.1 Noir Parser    👉  You can find complete implementation details here - **[Github Repository](https://github.com/crema-labs/asn1-noir)**    A fully functional **ASN.1 parser** written in **Noir** for use in zero-knowledge circuits. This parser decodes **DER-encoded binary structures** such as 
github_discussions,noir-lang/noir,Show and tell,2025-09-24,wakeuplabs,Noir circuits are now verifiable on Arbitrum Stylus – WakeUp Labs,https://github.com/orgs/noir-lang/discussions/9988,ultrahonk,"### Summary  To close out the project we kicked off in this [discussion](https://github.com/orgs/noir-lang/discussions/8673), we wanted to share what we built, some of the key takeaways, and the most relevant links.    We adapted the UltraHonk verifier to run in Stylus’ WASM environment, built a ded"
github_discussions,noir-lang/noir,Q&A,2025-06-06,70nyIT,keccak256 alternatives,https://github.com/orgs/noir-lang/discussions/8815,keccak; deprecated,I need to verify the merkle root hash within a circuit. That hash is also onChain and it's one of the public inputs to my circuit. I've seen that keccak256 hash function has been deprecated. What do you suggest to write a circuit that needs to verify that from a leaf (private input) we get up to the
github_discussions,noir-lang/noir,Q&A,2025-06-05,70nyIT,multiple `std::ecdsa_secp256k1::verify_signature` in circuit fail,https://github.com/orgs/noir-lang/discussions/8813,ecdsa; secp256k1; keccak,"I've a scenario where a series of keys are passed to the circuit (up to 20 ideally) and a loop verifies them all with `std::ecdsa_secp256k1::verify_signature`    I've noticed that if I have nore than 2 `std::ecdsa_secp256k1::verify_signature`, the circuit compiles, but when it comes to `bb prove` it"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-06-05,Savio-Sou,Announcing NRG#4 Selected Proposals,https://github.com/orgs/noir-lang/discussions/8811,bn254; ultrahonk; commitment,"## Overview    The 4th installment of the Noir Research Grants sets out to challenge the status quo of developing with Zero-Knowledge Proofs, seeding support for grassroot Noir developer tool projects to unlock intuitive access to performant cryptographic privacy for developers.    [Arbitrum Foundat"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-25,sidthakidd,Rust CLI Benchmark for Noir Witness Generation,https://github.com/orgs/noir-lang/discussions/8683,bignum,"### Summary  We propose WBench, a Rust-based CLI tool for systematically benchmarking witness generation in Noir circuits. WBench will repeatedly execute Noir programs on given inputs and record timing data, reporting metrics (mean, median, p95, p99, etc.) in structured JSON and human-readable forma"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-24,Chomtana,Turbo Noir ZK gaming framework,https://github.com/orgs/noir-lang/discussions/8682,groth16; recursive proof; on-chain verification,"## Summary    **Turbo Noir** is a framework that lets you add Zero-Knowledge (ZK) proofs to your games or apps — or build new ZK games from scratch — without knowing any cryptography. Just write your game rules once using a simple **action → reducer** style, and the framework takes care of all the p"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-24,symulacr,noir circuit profiler: experimental analysis framework,https://github.com/orgs/noir-lang/discussions/8681,ecdsa; keccak; sha256; plonk; halo2,"## So what?    i am building the noir circuit profiler, an experimental library and command-line tool that performs some static and dynamic analysis of noir circuits at the acir level to predict constraint costs and identify optimization opportunities. by decomposing acir opcodes into their constitu"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-24,Akshola00,Proposal: Noir Dev Snippets VS Code Extension,https://github.com/orgs/noir-lang/discussions/8680,,"This proposal outlines the development of a VS Code extension designed to significantly enhance the developer experience for Noir programmers. Inspired by popular code snippet extensions in other ecosystems (e.g., ""rafce"" in React), this tool will provide a suite of pre-defined code snippets and int"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-23,symulacr,Noir ZK Lab Notebook,https://github.com/orgs/noir-lang/discussions/8679,plonk,"### SUMMARY    The Noir ZK Lab Notebook will be an open-source dev box that transforms how developers experiment with, test, and share ZK circuits in Noir. Inspired by Jupyter notebooks, this tool provides a secure sandbox where devs can write Noir code, visualise circuit behaviour, test across mult"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-23,ike10,Prism: Real-Time State Synchronization Platform for Multi-Party Zero-Knowledge Applications,https://github.com/orgs/noir-lang/discussions/8678,rsa; bn254; commitment; instead of,# Prism: Real-Time State Synchronization for Multi-Party ZK Applications    ## Title  **Prism: Real-Time State Synchronization Platform for Multi-Party Zero-Knowledge Applications**    ## Summary  Zero-knowledge applications today are fundamentally single-player experiences. While developers can bui
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-23,wakeuplabs,Arbitrum Stylus Verifier | WakeUp Labs,https://github.com/orgs/noir-lang/discussions/8673,library for; rsa; bn254; ultrahonk; commitment,## Arbitrum Stylus verifier    ### Summary    Our project aims to develop a Stylus-compatible UltraHonk verifier that bridges the current gap between Noir's zero-knowledge capabilities and Arbitrum Stylus. We'll be refactoring Taceo Labs's rust implementation [link](https://github.com/TaceoLabs/co-s
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-23,duarteoctavio,Numerical types and a general framework for them.,https://github.com/orgs/noir-lang/discussions/8661,existing implementation,"## Title      	**General Framework for Numerical Types, implementation and operations**      ## Summary    	Noir has opened a huge trove of possible applications, between which many required advanced mathematical centric algorithms, such as statistical modelling and testing, model training, etc.    "
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-23,Sixela33,Private coordinates in a public world - ZK-location SDK,https://github.com/orgs/noir-lang/discussions/8657,poseidon; elgamal; commitment,"# ZK-location  ## Summary  ZK-Location is a privacy-preserving primitive that enables users to prove their physical location within specific geographic regions without revealing their exact coordinates. This technology combines GNSS data, hierarchical geospatial indexing (H3), distance approximation"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-23,LuchoLeonel,Modular Identity SDK,https://github.com/orgs/noir-lang/discussions/8656,eddsa; poseidon; bn254,"<img src=""https://zk-access.xyz/logo-white.png"" alt=""ZK-Access Logo"" width=""300""/>      # Modular Identity SDK: Reusable Claims from ZK Proofs    ## Summary  ZK-Access aims to develop an SDK that transforms isolated zk proofs into composable, persistent identity claims. Developers will be able to st"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,sebastianlujan,Interstellar: Full ZK Pipeline for Noir + Soroban Using BLS12-381 - Ratherlabs,https://github.com/orgs/noir-lang/discussions/8654,bls; poseidon; pedersen; bn254; bls12-381; plonk; groth16; recursive proof; on-chain verification; instead of,### Interstellar: BLS12-381 Proof Integration for Stellar - Ratherlabs    # Summary    **Interstellar** is a proposal to build a critical bridge between the Noir programming language and the Stellar network. We will develop a new proving backend for Noir that utilizes the BLS12-381 elliptic curve. T
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,yann300,Simplifying ZKPs with Noir via Remix IDE,https://github.com/orgs/noir-lang/discussions/8644,looking for,"## Title  Simplifying ZKPs with Noir via Remix IDE    ## Summary  We propose to develop a full-featured Remix IDE plugin that provides a comprehensive online Noir ZKP development cycle. This solution will eliminate the need for complex local setup, and provide an intuitive, web-based development exp"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,mverzilli,Silhouette: Noir ZK scaffolding for busy developers,https://github.com/orgs/noir-lang/discussions/8641,private voting,"# Summary    Silhouette is an open-source toolset that radically simplifies the process of creating apps that rely on zero-knowledge workflows. How does it work?    1. Developers specify data-types in a high level schema language (TBD exactly which one, for example we could use Zod or io-ts), includ"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,gip,Production-Ready ZK At the Edge,https://github.com/orgs/noir-lang/discussions/8639,library for,"# Title  DarkEdge: Production-Ready Zero-Knowledge At the Edge    # Summary    We propose to build *DarkEdge* (name subject to change), a plug-and-play toolkit for integrating zero-knowledge (ZK) proofs into mobile and edge applications. It includes pre-built, reusable ZK circuits and the infrastruc"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,JulesWi,ZK-IoT Bridge: Native Noir SDK for Privacy-Preserving Internet of Things,https://github.com/orgs/noir-lang/discussions/8630,,"## Summary  The Internet of Things generates 2.5 quintillion bytes of data daily, yet this data remains largely untapped in the zero-knowledge ecosystem due to lack of appropriate tools. ZK-IoT Bridge will be the first SDK developed natively in Noir enabling developers to seamlessly transform IoT da"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,yoyoismee,NECSS: A Framework for Private Applications (Phase 1),https://github.com/orgs/noir-lang/discussions/8623,ecdsa; nullifier; on-chain verification,"# **NECSS: A Framework for Private Applications (Phase 1\)**    ## **Summary**    NECSS (pronounced ""nexus"") or ""Noir Entity Component System and Secret"" is a comprehensive framework designed to accelerate the development of private applications using zero-knowledge proofs. By providing templates, c"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-22,qpzm,Arbitrum Stylus UltraHonk verifier,https://github.com/orgs/noir-lang/discussions/8622,bn254; ultrahonk,## Summary    We aim to bring Aztec's UltraHonk verifier to the Arbitrum stylus by:    1. Implementing a interface for precompiled BN254 EC curves.  2. Reviewing [TaceoLabs' Rust implementation](https://github.com/TaceoLabs/co-snarks/tree/main/co-noir/ultrahonk) of UltraHonk by comparing it to the r
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-21,clarus,Compiler from Solidity to Unconstrained Noir,https://github.com/orgs/noir-lang/discussions/8614,,"This is a proposal we are not sure about, as it would allow compiling Solidity code to Noir using the ""unconstrained"" option, which is unsuitable for circuit generation. We are happy to hear what you think about it.    ## Motivation    We want to enable other teams, or ourselves, to port existing So"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-21,clarus,Formally Verified Stellar Verifier,https://github.com/orgs/noir-lang/discussions/8612,bn254,"For this proposal, we will apply the same strategy as in our proposal [Formally Verified Arbitrum Stylus Verifier](https://github.com/orgs/noir-lang/discussions/8609). In addition to implementing the bn254 curve operations, we will use the [Sylow](https://github.com/warlock-labs/sylow) Rust library,"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-21,clarus,Formally Verified Arbitrum Stylus Verifier,https://github.com/orgs/noir-lang/discussions/8609,u256,We propose a translation of the Solidity smart contract for the Noir verifier in Rust in a way that is 100% safe and maintainable. For what we will:    - Keep a Rust representation of the contract that follows the structure of the Solidity code.  - Formally verify that the two are equivalent for any
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-21,Soulthym,Malicious Witness generation,https://github.com/orgs/noir-lang/discussions/8602,,"## Summary    This proposal aims at improving Noir's existing tooling, as well as testing for edge-cases in Aztec's barretenberg various prover/verifier backend implementation.    The goal is two-fold:    1) explore ways to exploit Aztec’s prover/verifier schemes:       1) using known techniques    "
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-21,clarus,Noir to Rust compiler,https://github.com/orgs/noir-lang/discussions/8596,,"We propose a tool to translate Noir programs to Rust, generating a readable output in Rust, with the same behavior as the original Noir program. It will simplify testing/analyzing Noir programs by reusing the existing Rust tools. In addition, we hope it helps people migrating to Noir on Rust-based c"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-21,KyoungWan,Main Track Proposal: Noir WebProof SDK,https://github.com/orgs/noir-lang/discussions/8595,recursive proof; kyc,"# Main Track Proposal: Noir WebProof SDK  ### Summary  This project aims to build the WebProof SDK, a developer toolkit that enables Noir developers to verify Web2-based data using Zero-Knowledge proofs, specifically through zkTLS.    The project will deliver:  - A zkTLS verification flow implemente"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-20,Mikerah,Noir Circuit Optimizer: Constraint Reduction Tooling for Efficient Proof Generation,https://github.com/orgs/noir-lang/discussions/8590,plonk; ultrahonk,"## Summary    We propose developing a Circuit Optimizer for Noir, directly addressing developer pain points related to excessive circuit sizes and proving inefficiencies. The optimizer will apply foundational optimizations (constant folding, dead code elimination, sub-expression elimination) and adv"
github_discussions,noir-lang/noir,[NRG#4] Developer Tools,2025-05-19,Alex-distributed-lab,Bitcoin SPV Prover SDK,https://github.com/orgs/noir-lang/discussions/8570,library for; secp256k1; sha256; recursive proof,"This proposal outlines the development of a Bitcoin Simplified Payment Verification (SPV) prover implemented in the Noir language. This tool will enable developers to generate sophisticated proofs concerning the Bitcoin blockchain, with the long-term objective of establishing comprehensive Bitcoin-t"
