source,repo,state,labels,date,author,title,url,matched_keywords,body_snippet
github_issues,noir-lang/noir,open,AST Fuzzer; claudebox,2026-07-06,AztecBot,AST Fuzzer: loop unrolling leaves dangling header-instruction result → inliner/Brillig ICE,https://github.com/noir-lang/noir/issues/13281,,## Summary  Multiple nightly AST-fuzzer seeds share one root cause in the **loop-unrolling** SSA pass (`compiler/noirc_evaluator/src/ssa/opt/unrolling.rs`). When a loop header contains an *instruction* (not just a block parameter) whose result is used by a block **outside** the loop — e.g. the loop 
github_issues,noir-lang/noir,open,AST Fuzzer; claudebox,2026-07-06,AztecBot,AST Fuzzer: `rc_invariant::array_set` false positive on transitively-fresh swapped loop sibling,https://github.com/noir-lang/noir/issues/13280,,## Summary  Nightly AST-fuzzer seed `0xfe6bbee600100000` (target **`comptime_vs_brillig_direct`**) aborts compilation in the debug-only SSA validator that runs after `Mem2Reg`:  ``` --- The SSA failed to validate after 'Mem2Reg' failed to compile program: brillig: array_set in function func_1 on arr
github_issues,noir-lang/noir,open,AST Fuzzer; claudebox,2026-07-06,AztecBot,AST Fuzzer: SSA interpreter prints unreduced ACIR integer value (`values_to_fields`),https://github.com/noir-lang/noir/issues/13279,,## Summary  Nightly AST-fuzzer seed `0xf776cf9800100000` fails the **`pass_vs_prev`** target: interpreting the same program before and after loop unrolling prints different output.  ``` not-yet-unrolled (step 22):  -2 -1 256 257 258   (×3 each) fully-unrolled  (step 72):   -2 -1   0   1   2   (×3 ea
github_issues,noir-lang/noir,closed,,2026-06-29,asterite,Private intermediate module is not accessible from its parent module,https://github.com/noir-lang/noir/issues/13203,instead of,### Aim  Resolving a path should treat the visibility of an *intermediate* module segment the same way it treats any other item: a private item is usable from the module it is declared in (and that module's descendants). A private module that appears as an intermediate path segment is currently chec
github_issues,noir-lang/noir,open,,2026-06-26,aakoshh,"Brillig entry points accept out-of-domain primitive inputs (e.g. `bool` ∉ {0,1}) that ACIR rejects",https://github.com/noir-lang/noir/issues/13191,,"## Summary  An unconstrained (Brillig) entry point accepts primitive inputs that are **outside their type's domain** — e.g. a `bool` whose witness value is `2` — when fed a raw `WitnessMap` that bypasses the ABI. The equivalent ACIR circuit rejects the same input, because `add_numeric_input_var` ran"
github_issues,noir-lang/noir,open,,2026-06-26,aakoshh,`Validate` trait + `#[derive(Validate)]` for structural validation of circuit inputs,https://github.com/noir-lang/noir/issues/13188,rsa,"## TL;DR  Introduce a namespaced `Validate` trait with `fn validate(&self)` that **asserts** a type's representation/refinement invariants, a `#[derive(Validate)]` that recurses fields, and an optional struct-level `#[validate(Type::method)]` add-on for custom whole-struct invariants. Automatically "
github_issues,noir-lang/noir,closed,,2026-06-26,aakoshh,Comptime: `named_attribute_args` query to read meta-attribute arguments as tokens,https://github.com/noir-lang/noir/issues/13187,instead of,"## Summary  Add a comptime accessor that returns the arguments of a named meta-attribute as tokens, e.g. on `TypeDefinition`:  ```rust comptime fn named_attribute_args(self, name: Quoted) -> [[Quoted]] //  outer: one entry per occurrence of the attribute (empty => attribute absent) //  inner: the ar"
github_issues,noir-lang/noir,closed,,2026-06-26,aakoshh,Comptime: coerce function paths to `FunctionDefinition` in meta-attribute arguments,https://github.com/noir-lang/noir/issues/13186,,"## Summary  Extend meta-attribute argument coercion so that a **function path** passed to an attribute whose parameter type is `FunctionDefinition` is resolved to a `FunctionDefinition`, exactly mirroring the existing coercion of trait paths to `TraitDefinition`.  ```rust #[my_attr(some_module::some"
github_issues,noir-lang/noir,open,documentation; Improvement,2026-06-16,Savio-Sou,Update the optimization example in flamegraph docs,https://github.com/noir-lang/noir/issues/13092,,"### Problem  https://noir-lang.org/docs/tooling/profiler#visualizing-optimizations currently describes how flamegraph could help identify and guide optimizing the example code from 387 → 284 ACIR opcodes on Noir v1.0.0-beta.2.  But on Noir v1.0.0-beta.22, the example code is already auto-optimized t"
github_issues,noir-lang/noir,open,,2026-06-13,auryn-macmillan,nargo compile: O(N) memory leak during ACIR synthesis of large Poseidon sponge (>~1000 elements),https://github.com/noir-lang/noir/issues/13046,poseidon; bn254,### Expected Behavior  Memory should be bounded during ACIR generation — either streaming the opcodes to disk or batching them. A 8193-element Poseidon sponge generates ~25K ACIR opcodes (~8 MB worth) and should not require 48GB+ of RSS.  The compiler appears to store all ACIR opcodes in a single in
github_issues,noir-lang/noir,closed,,2026-06-12,aakoshh,Generic enum compilation problems,https://github.com/noir-lang/noir/issues/13037,,"### Expected Behavior  I found the following problems while reviewing https://github.com/noir-lang/noir/pull/13003  The following works in Rust, but in Noir it says it needs more annotations: ```noir enum Foo<T> {     Spam,     Eggs(T), } fn main() {     let foo = Foo::<u32>::Spam; } ```  The follow"
github_issues,noir-lang/noir,open,compiler frontend,2026-06-11,aakoshh,UsageTracker: track unreachable pub items (pub in a private module) as candidates for unused warnings,https://github.com/noir-lang/noir/issues/13009,,"### Background  While reviewing #12989 we noticed that Noir has no equivalent of Rust's reachability-based dead-code detection for `pub` items. In Rust, a `pub fn` that lives in a private module (and isn't re-exported from the crate root) is flagged — `dead_code` warns it's never used in a library, "
github_issues,noir-lang/noir,open,compiler frontend,2026-06-11,aakoshh,"UsageTracker: functions should require a use (call/value), not just a reference, to be considered used",https://github.com/noir-lang/noir/issues/13008,,"### Background  While reviewing #12989 (teaching `UsageTracker` to differentiate unused functions from globals) we found that a function is treated as **used** as soon as it is merely *referenced*, whereas structs are only treated as used once they are *constructed*.  In `UsageTracker::mark_as_refer"
github_issues,noir-lang/noir,closed,,2026-06-10,jfecher,Comptime Interpreter minor maintainability issues,https://github.com/noir-lang/noir/issues/12997,,"Mirror for: - https://app.audithub.dev/app/organizations/161/projects/600/project-viewer?version=1408&issueId=910 - https://linear.app/aztec-foundation/issue/NRSEC-80  ## Description  During the review, some minor issues were identified that do not pose an immediate risk but may affect long-term mai"
github_issues,noir-lang/noir,open,,2026-06-10,jfecher,Elaborator maintainability improvements,https://github.com/noir-lang/noir/issues/12996,outdated; instead of,"Mirror for: - https://app.audithub.dev/app/organizations/161/projects/599/project-viewer?version=1406&issueId=965 - https://linear.app/aztec-foundation/issue/NRSEC-87  ### Description  The compiler contains several unresolved concerns that aim to improve code base hygiene, diagnostics, and defensive"
github_issues,noir-lang/noir,open,documentation; Improvement,2026-06-09,Savio-Sou,Merge documentations of oracles,https://github.com/noir-lang/noir/issues/12986,,### Problem  Noir's documentations currently have three separate pages describing oracles:  1. https://noir-lang.org/docs/dev/language/oracles 2. https://noir-lang.org/docs/dev/guides/how_to_use_oracles 3. https://noir-lang.org/docs/dev/guides/oracles  This makes accessing information about oracles 
github_issues,noir-lang/noir,closed,,2026-06-09,asterite,Capture inherent impls' trait constraints so function signatures don't over-report parent where clauses,https://github.com/noir-lang/noir/issues/12984,instead of,"### Problem  When the LSP renders a function's `where` clause (in hover, and similarly in `nargo expand` / `nargo doc`), it builds the clause from `FuncMeta::trait_constraints`. For **inherent impl** methods this over-reports: the compiler merges the enclosing `impl`'s `where` clause into each metho"
github_issues,noir-lang/noir,open,comptime,2026-06-09,vezenovm,comptime `error`/`warn`: allow multiple source location labels,https://github.com/noir-lang/noir/issues/12979,,### Problem  `std::meta::error` and `std::meta::warn` accept a single `Location` plus an optional secondary `fmtstr` that renders at that same span (`noir_stdlib/src/meta/mod.nr`). A macro author can therefore anchor a diagnostic at only one place. When a check involves more than one relevant locati
github_issues,noir-lang/noir,closed,lsp,2026-06-08,vezenovm,LSP hover omits function where clauses,https://github.com/noir-lang/noir/issues/12952,,"## Repro  ```noir trait Foo {}  struct Bar {} impl Foo for Bar {}  fn takes_foo<T>(value: T) where     T: Foo, {}  fn main() {     let value = Bar {};     takes_foo(value); } ```  Hover over `takes_foo` at the call site.  ## Expected  The hover signature includes the function where clause, for examp"
github_issues,noir-lang/noir,open,,2026-06-08,github-actions[bot],ACVM crates are not publishable,https://github.com/noir-lang/noir/issues/12944,,"The ACVM crates are currently unpublishable, making a release will NOT push our crates to crates.io.  This is likely due to a crate we depend on bumping its MSRV above our own. Our lockfile is not taken into account when publishing to crates.io (as people downloading our crate don't use it) so we ne"
github_issues,noir-lang/noir,closed,compiler,2026-06-05,vezenovm,Non-determinism: nargo expand emit order for impl-block items differs between macOS arm64 and Linux x86_64 at the same nargo version,https://github.com/noir-lang/noir/issues/12933,nullifier,### Aim  Get `nargo expand` to emit byte-identical output for the same source crate across hosts at the same nargo release.  ### Expected Behavior  Two machines with the same `nargo --version` emit byte-identical `nargo expand` output for the same crate.  ### Bug  Sorry I was note able to get a mini
github_issues,noir-lang/noir,closed,compiler,2026-06-04,vezenovm,"""bug: Assertion is always false"" is silently dropped for contract crates",https://github.com/noir-lang/noir/issues/12923,instead of,"## Aim  The `bug: Assertion is always false: ...` diagnostic that `nargo compile` emits for a `type = ""bin""` crate should also fire for a `type = ""contract""` crate containing the same code.  ## Expected Behavior  Both crate types produce the same diagnostic on the same input, and (after the primary "
github_issues,noir-lang/noir,open,compiler,2026-06-04,vezenovm,nargo compile only warns on assert(<comptime-known-false>) and writes unsatisfiable ACIR,https://github.com/noir-lang/noir/issues/12922,instead of,"## Aim  For `assert(<comptime-known-false>)`, `nargo compile` should fail with the user's assertion message and a source-level call stack.  ## Expected Behavior  `nargo compile` aborts with a hard error referencing the offending `assert` and writes no artifact. Equivalent to what `nargo execute` and"
github_issues,noir-lang/noir,closed,,2026-06-02,asterite,"Spurious ""Multiple trait impls match"" for partially-generic object types in associated-type projections",https://github.com/noir-lang/noir/issues/12889,,"### Problem  PR #12888 fixes spurious trait-constraint errors when an associated-type projection's object is **fully concrete** (e.g. `<bool as Mappable>::Target`), by discharging a `where`-clause assumed impl against the concrete impl that already provides the answer.  The same spurious conflict st"
github_issues,noir-lang/noir,closed,documentation; Improvement,2026-06-01,Savio-Sou,Update MCP server link in docs,https://github.com/noir-lang/noir/issues/12872,,"### Problem  The MCP server used in onboarding docs https://github.com/critesjosh/noir-mcp-server is now transferred to https://github.com/noir-lang/mcp-server/, but the docs aren't updated yet.  ### Happy Case  Update docs to point to the new repository location.  Also update versioned docs for v1."
github_issues,noir-lang/noir,closed,documentation; Improvement,2026-06-01,Savio-Sou,Generalize ECDSA doc page for all signatures instead,https://github.com/noir-lang/noir/issues/12870,ecdsa; schnorr,"### Problem  The current https://noir-lang.org/docs/dev/libraries/standard_library/cryptographic_primitives/ecdsa_sig_verification page covers only ECDSA signature, which leaves out the opportunity to mention other signature verification libraries maintained outside of the standard library under noi"
github_issues,noir-lang/noir,closed,documentation; Improvement,2026-06-01,Savio-Sou,Add links to popular libraries in docs,https://github.com/noir-lang/noir/issues/12868,bignum,"### Problem  The current ""Libraries"" section hosts docs of the standard library and one link to https://github.com/noir-lang/awesome-noir?tab=readme-ov-file#libraries, which isn't quite helpful for readers to intuitively find libraries they need.  ### Happy Case  Add links to the three most popular "
github_issues,noir-lang/noir,closed,,2026-06-01,spalladino,Add a `nargo` command to install dependencies only,https://github.com/noir-lang/noir/issues/12864,,"### Problem  There is no `nargo` subcommand that *only* resolves and installs the dependencies declared in `Nargo.toml`. `nargo compile`, `nargo check`, and `nargo test` install missing dependencies as a side effect, but they also perform the (potentially expensive) compile/check/test work. There is"
github_issues,noir-lang/noir,closed,,2026-06-01,github-actions[bot],ACVM crates failed to publish,https://github.com/noir-lang/noir/issues/12860,,The v1.0.0-beta.22 release of the ACVM crates failed.  Check the [Publish ACVM crates](https://github.com/noir-lang/noir/actions/runs/26757007603) workflow for details.  This issue was raised by the workflow `Publish ACVM crates`
github_issues,noir-lang/noir,closed,js,2026-05-31,github-actions[bot],JS packages failed to publish,https://github.com/noir-lang/noir/issues/12856,,The nightly release of the JS packages failed.  Check the [Publish JS packages](https://github.com/noir-lang/noir/actions/runs/26733007237) workflow for details.  This issue was raised by the workflow `Publish Noir ES Packages`
github_issues,noir-lang/noir,open,documentation; Bug,2026-05-29,Savio-Sou,Fix NoirJS references in docs,https://github.com/noir-lang/noir/issues/12852,ecdsa,"### Expected Behavior  References in https://noir-lang.org/docs/reference/NoirJS/noir_js should describe what each function does, what are their expected types, etc.  ### Bug  References are all showing up as:  ``` Renames and re-exports [ecdsa_secp256r1_verify](https://noir-lang.org/docs/reference/"
github_issues,noir-lang/noir,open,,2026-05-29,1sgtpepper,SSA cast-chain simplification drops observable unsigned truncation boundary,https://github.com/noir-lang/noir/issues/12844,,"# SSA cast-chain simplification drops observable unsigned truncation boundary  ## Summary  The SSA cast simplifier can collapse a typed cast chain through a narrower unsigned integer boundary and change source-level semantics. For `x == -1`, the source-level chain `i8 -> u8 -> i16` should produce `2"
github_issues,noir-lang/noir,open,,2026-05-29,1sgtpepper,Artifact cache ignores validation policy for skipped Brillig/underconstrained checks,https://github.com/noir-lang/noir/issues/12843,sha256; instead of,# Artifact cache ignores validation policy for skipped Brillig/underconstrained checks  ## Summary  `nargo compile` can reuse an artifact produced with skipped validation checks during a later default compile. The cache key only proves that the monomorphized program and Noir artifact version match; 
github_issues,noir-lang/noir,closed,,2026-05-29,jCabala,Unsigned variable produces `-1` array index,https://github.com/noir-lang/noir/issues/12841,,"### Expected Behavior  A value of unsigned type should never be reported as -1 at an array index, and overflow detection should not depend on what operations happen to use the result afterwards.  ### Bug  Given:  #### Prover.toml ``` x = ""3"" arr = [true, true, true, true, true, true, true, true] ```"
github_issues,noir-lang/noir,open,documentation,2026-05-28,critesjosh,docs: include_code `git show` for released snippets is broken (and dormant),https://github.com/noir-lang/noir/issues/12834,,"### Problem  `docs/scripts/preprocess/include_code.js` `readFile()` tries to load a snippet from the last release tag for publish builds:  ```js return childProcess.execSync('git show', taggedPath).toString(); ```  `execSync`'s second argument is the *options* object, not git args — so `taggedPath` "
github_issues,noir-lang/noir,closed,formatter,2026-05-28,vezenovm,Comment wrap leaves a single dangling word on its own line,https://github.com/noir-lang/noir/issues/12827,,"### Expected Behavior  With `noirfmt.toml`:  ```toml max_width=120 wrap_comments=true comment_width=120 ```  When a multi-line comment goes just over `comment_width`, I expect `nargo fmt` to reflow the comment as a paragraph into reasonably balanced lines (or at least not leave a single short word s"
github_issues,noir-lang/noir,closed,,2026-05-28,jfecher,Add design directory as a centralized place for language design decisions,https://github.com/noir-lang/noir/issues/12823,,"### Problem  There is no place for design docs in the noir repo - the `docs` directory is for user-facing design of the noir language only.  ### Happy Case  Per a discussion on slack we should add a design directory to have a centralized place we can reference design decisions for the language, comp"
github_issues,noir-lang/noir,open,documentation,2026-05-28,Savio-Sou,Update web app tutorial in docs to the latest Noir version,https://github.com/noir-lang/noir/issues/12821,,"### Problem  The current page is currently anchored on noir_js@1.0.0-beta.20 and bb.js@3.0.0-nightly.20251104: https://noir-lang.org/docs/tutorials/noirjs_app, which are both quite dated.  Credit to @hooperben for flagging.  ### Happy Case  Update to the latest Noir and Barretenberg versions.  ### W"
github_issues,noir-lang/noir,open,,2026-05-28,hooperben,nargo lsp doesn't push stale diagnostic clears - fixed errors keep their squigglies until LSP restart,https://github.com/noir-lang/noir/issues/12819,,"### Expected Behavior  Per the LSP spec (textDocument/publishDiagnostics), a language server should re-publish diagnostics for a file whenever its analysis state changes - including pushing an empty diagnostics: [] array when all previous errors are resolved. The client relies on the server as the s"
github_issues,noir-lang/noir,closed,,2026-05-27,TomAFrench,SSA parser does not validate stated purity against computed purity,https://github.com/noir-lang/noir/issues/12811,rsa,"## Summary  The SSA text parser accepts a function-header purity annotation (`pure`, `predicate_pure`, `impure`) and stores whatever was written without checking that it matches the purity that would be computed by walking the function's instructions. A hand-written SSA program can declare `pure` ov"
github_issues,noir-lang/noir,closed,,2026-05-27,TomAFrench,"Attributes on trait methods fail to parse, producing a confusing error cascade",https://github.com/noir-lang/noir/issues/12810,instead of,"### Aim  Function attributes work on free functions and on `impl` methods, but applying any attribute to a method declared inside a `trait` (a default method, or a bodyless declaration) fails to parse. The resulting diagnostic is also poor: the parser emits one error per token of the attribute (`Exp"
github_issues,noir-lang/noir,closed,,2026-05-26,jCabala,`(-x as iN)` should error or match `-(x as iN)`,https://github.com/noir-lang/noir/issues/12794,bn254,"### Expected Behavior  `(-1 as i8)` should equal `-1`, matching the behaviour of `-(1 as i8)` or at least produce a suitable warning.  ### Bug  ``` fn main() {     assert(         (-(1 as i64) as i8) == -1     ); // WORKS     assert(         (-1 as i8) == -1     ); // FAILS } ```  fails with:  ``` b"
github_issues,noir-lang/noir,open,,2026-05-26,nventuro,oraclle call on end of test on `nargo test`,https://github.com/noir-lang/noir/issues/12792,,"### Problem  When tests are run, each test gets a unique id that is passed along in all oracle calls. This allows the creation of oracle resolvers that support parallel noir tests, since they can route each oracle call to a handler specialized for that session (e.g. keeping track of state, such as t"
github_issues,noir-lang/noir,closed,js,2026-05-26,github-actions[bot],JS packages failed to publish,https://github.com/noir-lang/noir/issues/12783,,The nightly release of the JS packages failed.  Check the [Publish JS packages](https://github.com/noir-lang/noir/actions/runs/26429891522) workflow for details.  This issue was raised by the workflow `Publish Noir ES Packages`
